Vial ID	Tare
V1005101	4.87415
V1005102	4.84391
V1005103	4.85546
V1005104	4.84318
V1005105	4.85732
V1005100	4.87976
V1005094	4.84358
V1005095	4.86278
V1005096	4.84802
V1005097	4.85436
V1005098	4.85392
V1005099	4.88749
V1005089	4.85744
V1000293	4.84557
V1000301	4.84756
V1000287	4.8765
V1000292	4.88833
V1000289	4.86066
V1000309	4.84713
V1000286	4.85386
V1000310	4.79119
V1000294	4.84999
V1000306	4.87294
V1000300	4.86566
V1000304	4.84607
V1000299	4.87988
V1000308	4.83976
V1000302	4.83151
V1000311	4.86635
V1000285	4.86151
V1000305	4.88925
V1000303	4.8734
V1000298	4.86597
V1000288	4.8173
V1000296	4.84411
V1000295	4.85051
V1000307	4.82768
V1000290	4.86952
V1000291	4.8314
V1000312	4.87567
V1005115	4.9145
V1005114	4.84872
V1005145	4.82045
V1005144	4.85465
V1005113	4.82552
V1005112	4.84428
V1005110	4.80988
V1005111	4.86583
V1005142	4.90793
V1005133	4.83592
V1005143	4.84566
V1005135	4.82368
V1005108	4.91736
V1005109	4.87479
V1005140	4.89955
V1005141	4.84558
V1005134	4.91383
V1005130	4.84275
V1005106	4.86615
V1005107	4.82245
V1005136	4.91798
V1005138	4.90182
V1005139	4.90794
V1005137	4.90864
V1005126	4.86258
V1005128	4.88993
V1005129	4.85276
V1005131	4.89263
V1005132	4.80816
V1005127	4.90498
V1005118	4.92251
V1005120	4.86355
V1005122	4.93111
V1005124	4.88983
V1005125	4.91179
V1005116	4.85504
V1005117	4.87707
V1005166	4.83148
V1005119	4.87101
V1005168	4.93294
V1005121	4.93125
V1005123	4.8821
V1005170	4.86942
V1005169	4.8821
V1005175	4.91275
V1005173	4.90443
V1005167	4.85243
V1005155	4.90119
V1005171	4.9894
V1005157	4.90852
