Vial-ID	Tare
V1005146	4.93616
V1005174	4.86469
V1005159	4.78583
V1005162	4.87592
V1005158	4.89246
V1005156	4.91297
V1005151	4.86034
V1005164	4.98396
V1005165	4.90363
V1005150	4.92498
V1005163	4.93988
V1005161	4.87328
V1005160	4.89413
V1005153	4.86687
V1005154	4.8414
V1005148	4.94136
V1005149	4.94214
V1005147	4.90119
V1005205	4.83669
V1005201	5.00007
V1005197	4.88892
V1005200	4.8685
V1005198	4.82664
V1005204	4.86097
V1005203	4.80886
V1005202	4.85155
V1005194	4.904
V1005196	4.88134
V1005191	4.88946
V1005199	4.87272
V1005186	4.88943
V1005195	4.85016
V1005193	4.86252
V1005184	4.88412
V1005179	4.866
V1005185	4.87337
V1005178	4.84458
V1005183	4.8624
V1005192	4.9075
V1005177	4.84686
V1005182	4.84686
V1005190	4.87078
V1005189	4.92908
V1005176	4.84534
V1005181	4.91596
V1005206	4.84207
V1005188	4.934
V1005187	4.85584
V1005180	4.87462
V1005207	4.95825
