Position,SL number,Typ,New Name
637,SL30978,Acid,Acids-L0001
638,SL30984,Acid,Acids-L0002
639,SL30979,Acid,Acids-L0003
640,SL30980,Acid,Acids-L0004
641,SL30989,Acid,Acids-L0005
642,SL30986,Acid,Acids-L0006
643,SL30976,Acid,Acids-L0007
644,Empty,Acid,Acids-L0008
645,SL30972,Acid,Acids-L0009
646,Empty,Acid,Acids-L0010
647,Empty,Acid,Acids-L0011
648,Empty,Acid,Acids-L0012
649,SL30983,Acid,Acids-L0013
650,SL30975,Acid,Acids-L0014
651,SL30988,Acid,Acids-L0015
652,SL30974,Acid,Acids-L0016
653,SL30981,Acid,Acids-L0017
654,SL30990,Acid,Acids-L0018
655,SL30973,Acid,Acids-L0019
656,SL30985,Acid,Acids-L0020
