Vial ID	Vikt
V1005211	4.83821
V1005212	4.85471
V1005213	4.85302
V1005214	4.83465
V1005215	4.86393
V1005216	4.89246
V1005217	4.90242
V1005218	4.85277
V1005219	4.85009
V1005220	4.8261
V1005221	4.86785
V1005222	4.8671
V1005223	4.8246
V1005224	4.86274
V1005225	4.84932
V1005226	4.8933
V1005227	4.85811
V1005228	4.8121
V1005229	4.87687
V1005230	4.82297
V1005231	4.88439
V1005232	4.88478
V1005233	4.85505
V1005234	4.87348
V1005235	4.8489
V1005236	4.84356
V1005237	4.85446
V1005238	4.88051
V1005239	4.88149
V1005240	4.85353
V1005241	4.85547
V1005242	4.87632
V1005243	4.80102
V1005244	4.86276
V1005245	4.86982
V1005246	4.84114
V1005247	4.83893
V1005248	4.87133
V1005249	4.86377
V1005250	4.87632
V1005251	4.87398
V1005252	4.87869
V1005253	4.85935
V1005254	4.83485
V1005255	4.81264
V1005256	4.85744
V1005257	4.85111
V1005258	4.86702
V1005259	4.86721
V1005260	4.8337
V1005261	4.83579
V1005262	4.86497
V1005263	4.8467
V1005264	4.87095
V1005265	4.86467
V1005266	4.88623
V1005267	4.84695
V1005268	4.83997
V1005269	4.85451
V1005270	4.84596
V1005271	4.85088
V1005272	4.86797
V1005273	4.8596
