Vial ID	Tare
V205810	4.892
V205809	4.92051
V205808	4.88838
V205807	4.88707
V205806	4.8887
V205805	4.88901
V205804	4.89075
V205803	4.85101
V205802	4.90365
V205801	4.8959
V205800	4.90722
V205799	4.87958
V205798	4.90643
V205797	4.92309
V205796	4.8671
V205795	4.90227
V205787	4.90391
V205788	4.87495
V205789	4.93548
V205790	4.87629
V205791	4.88798
V205792	4.92311
V205793	4.92477
V205794	4.87001
V205727	4.9108
V205728	4.8778
V205729	4.88387
V205730	4.87471
V205731	4.8824
V205732	4.90547
V205733	4.91435
V205734	4.89223
V205735	4.88682
V205736	4.87394
V205737	4.86468
V205738	4.8345
V205739	4.86715
V205740	4.88439
V205741	4.92477
V205742	4.86469
V205743	4.9126
V205744	4.922
V205745	4.88747
V205746	4.9046
V205783	4.88325
V205784	4.90622
V205785	4.91324
V205786	4.91308
