Vial ID	Tare
V206289	4.85315
V206287	4.86842
V206280	4.79463
V206290	4.82274
V206294	4.85029
V206283	4.81299
V206288	4.88158
V206441	4.86392
V206449	4.97374
V206447	4.94619
V206445	4.99378
V206443	4.98348
V206450	5.00072
V206448	4.99258
V206446	4.98257
V206438	5.01336
V206440	4.99586
V206439	5.02665
V206444	5.02149
V206436	5.01546
V206434	5.01108
V206442	5.03948
V206437	4.98042
V206428	4.99353
V206435	5.02546
V206431	4.97769
V206429	4.9646
V206430	4.96517
V206432	4.89061
V206433	5.01381
V206423	4.92452
V206421	4.80082
V206420	4.99778
V206417	5.00865
V206425	4.99881
V206424	5.02513
V206422	4.99819
V206414	4.89353
V206426	4.81208
V206415	4.95602
V206427	4.92752
V206419	4.97059
V206411	5.01159
V206412	4.87526
V206418	4.98583
V206416	4.99333
V206408	5.03548
V206403	5.00014
V206410	4.97834
V206413	5.00945
V206406	5.00173
V206401	5.00803
V206402	4.97864
V206399	4.86109
V206409	5.02482
V206407	5.00371
V206405	5.01972
V206404	4.98181
V206394	5.0088
V206393	4.99154
V206400	5.01426
V206398	4.87046
V206396	5.00086
V206391	4.98498
V206388	4.8043
V206397	4.99538
V206387	4.98757
V206392	5.03773
V206395	5.01966
V206389	4.95383
V206380	5.04204
V206382	5.00528
V206384	5.00133
V206386	5.03242
V206385	5.03159
V206381	4.99296
V206383	5.01227
V206378	4.99954
V206370	5.01554
V206372	4.97015
V206376	4.99557
V206379	4.99717
V206377	4.99402
V206374	4.95538
V206375	5.02369
V206369	5.00275
V206368	5.03423
V206366	4.99619
V206373	5.02142
V206371	5.03181
V206367	5.00139
V206359	4.97731
V206358	5.00506
V206360	5.01809
V206362	5.02465
V206361	4.95884
V206350	5.00297
V206351	4.96343
V206352	4.99845
V206353	5.00938
