Vial ID	Tare
V1004882	4.85269
V1004883	4.86785
V1004884	4.86732
V1004885	4.88483
V1004886	4.85391
V1004887	4.85075
V1004888	4.85241
V1004889	4.84863
V1004890	4.87851
V1004891	4.87257
V1004892	4.8762
V1004893	4.87893
V1004894	4.86801
V1004895	4.88112
V1004896	4.83817
V1004897	4.8789
V1004912	4.8427
V1004902	4.96353
V1004898	4.87277
V1004910	4.91743
V1004906	4.8692
V1004909	4.91149
V1004903	4.8497
V1004908	4.85604
V1004900	4.83916
V1004905	4.88862
V1004904	4.92102
V1004899	4.94056
V1004911	4.91793
V1004907	4.87576
V1004901	4.92285
V1004913	4.82442
V1004915	4.83702
V1004916	4.83984
V1004917	4.8223
V1004918	4.84075
V1004919	4.84091
V1004920	4.91299
V1004921	4.90194
V1004922	4.91327
V1004923	4.9202
V1004924	4.89443
V1004925	4.77859
V1004926	4.87741
V1004927	4.85569
V1004928	4.82182
V1004929	4.83296
V1004930	4.90079
V1004931	4.97862
V1004932	4.83581
V1004933	4.82673
V1004934	4.90983
V1004935	4.80195
V1004936	4.87416
V1004937	4.83376
V1004938	4.93067
V1004939	4.89854
V1004940	4.80558
V1004941	4.89809
V1004942	4.88726
V1004914	4.73646
V1004943	4.81505
V1004944	4.87161
V1004945	4.90873
V1004946	4.90802
V1004947	4.85714
V1004948	4.85649
V1004949	4.83927
V1004950	4.80146
V1004951	4.835
V1004952	4.82515
V1004953	4.91438
V1004954	4.92206
V1004955	4.81117
V1004956	4.83675
V1004957	4.88059
V1004958	4.81953
V1004959	4.82208
V1004960	4.82335
V1004961	4.87885
V1004962	4.82576
V1004963	4.86747
V1004964	4.84847
V1004965	4.88866
V1004966	4.89599
V1004967	4.90694
V1004968	4.87091
V1004969	4.80151
V1004970	4.81556
V1004971	4.88538
V1004972	4.85253
