Vial ID	Tare
V1005047	4.90433
V1005016	4.85796
V1005048	4.91163
V1005046	4.91547
V1005015	4.87795
V1005049	4.82324
V1005022	4.85602
V1005050	4.95007
V1005020	4.87324
V1005014	4.89383
V1005013	4.88789
V1005051	4.91657
V1005019	4.82041
V1005052	4.87355
V1005018	4.86354
V1005012	4.80964
V1005053	4.91768
V1005017	4.81887
V1005011	4.84222
V1005010	4.87478
V1005009	4.87327
V1005007	4.82716
V1005005	4.83899
V1005006	4.89481
V1005000	4.85494
V1005004	4.85445
V1005003	4.83823
V1005002	4.82527
V1004997	4.83625
V1004999	4.8454
V1004998	4.86576
V1004988	4.81252
V1005001	4.89143
V1005008	4.83301
V1004989	4.90341
V1004996	4.85014
V1004985	4.80001
V1004990	4.81147
V1004991	4.79253
V1004987	4.78662
V1004986	4.81687
V1004995	4.8333
V1004992	4.92636
V1004983	4.83738
V1004984	4.8491
V1004994	4.8261
V1004993	4.95886
V1004979	4.83649
V1004982	4.83625
V1004978	4.84382
V1004977	4.76767
V1004976	4.83177
V1004975	4.92656
V1004980	4.92147
V1004981	4.81378
V1004945	4.90834
V1004946	4.90773
V1004947	4.85691
V1004974	4.84075
V1004943	4.8148
V1004949	4.83887
V1004954	4.9217
V1004953	4.91414
V1004952	4.82479
V1004966	4.89461
V1004960	4.82204
V1004973	4.81693
V1004965	4.88722
V1004950	4.8011
V1004951	4.83472
V1004944	4.87141
V1004961	4.87749
V1004962	4.82459
V1004963	4.86614
V1004964	4.8471
V1004948	4.85603
V1004971	4.88392
V1004955	4.81075
V1004956	4.83635
V1004972	4.85102
V1000249	4.82705
V1004957	4.87935
V1004958	4.81819
V1004959	4.82093
V1000259	4.91011
V1000271	4.92504
V1004967	4.90558
V1004968	4.86947
V1004969	4.80001
V1004970	4.8142
