Date & time of Trace = 20 okt 2016 02:12:07 PM
Rack Base Name: MX6068
  A01;	2004956424
  A02;	2005058499
  A03;	2005124823
  A04;	2005124858
  A05;	2005124847
  A06;	No TrakMate
  A07;	No TrakMate
  A08;	2005114867
  A09;	No TrakMate
  A10;	2005130782
  A11;	2005130805
  A12;	No TrakMate
  B01;	2005115785
  B02;	No TrakMate
  B03;	2005055791
  B04;	2005156567
  B05;	2005124787
  B06;	No TrakMate
  B07;	No TrakMate
  B08;	No TrakMate
  B09;	No TrakMate
  B10;	2005130746
  B11;	2005116437
  B12;	2004969214
  C01;	2005116082
  C02;	2005139572
  C03;	2005056675
  C04;	2005124856
  C05;	2005124799
  C06;	No TrakMate
  C07;	No TrakMate
  C08;	2005130816
  C09;	No TrakMate
  C10;	2005130770
  C11;	2005116445
  C12;	2005130743
  D01;	2005156664
  D02;	2005155278
  D03;	2005054719
  D04;	2005124832
  D05;	2005124811
  D06;	No TrakMate
  D07;	No TrakMate
  D08;	2005127057
  D09;	2005130747
  D10;	2005130758
  D11;	2005116417
  D12;	2005130755
  E01;	2005120348
  E02;	2005139530
  E03;	2005124834
  E04;	2005124844
  E05;	2005124835
  E06;	No TrakMate
  E07;	No TrakMate
  E08;	2005151728
  E09;	2005130725
  E10;	2005130757
  E11;	2005119715
  E12;	2005011331
  F01;	No TrakMate
  F02;	2005146913
  F03;	2005059628
  F04;	2005124859
  F05;	2005118617
  F06;	No TrakMate
  F07;	No TrakMate
  F08;	2005141729
  F09;	2005130723
  F10;	2005130769
  F11;	2004958306
  F12;	2005005068
  G01;	2005118707
  G02;	2004999253
  G03;	No TrakMate
  G04;	2004961689
  G05;	2005118465
  G06;	No TrakMate
  G07;	No TrakMate
  G08;	No TrakMate
  G09;	2005130806
  G10;	2005130781
  G11;	2005151903
  G12;	2005145816
  H01;	No TrakMate
  H02;	No TrakMate
  H03;	No TrakMate
  H04;	No TrakMate
  H05;	2005119558
  H06;	No TrakMate
  H07;	No TrakMate
  H08;	2005156713
  H09;	2005130794
  H10;	2005130793
  H11;	2004956544
  H12;	2004998870
