BatchId,VialID,BoxName,Koordinat,Concentration
BG8045003,V500196,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,010,10
BG8046003,V500197,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,011,10
BG8047003,V500198,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,012,10
BG8048003,V500199,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,013,10
BG8049003,V500200,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,014,10
BG8050003,V500201,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,015,10
BG8051003,V500202,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,016,10
BG8052003,V500203,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,017,10
BG8053003,V500211,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,018,10
BG8054003,V500212,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,019,10
BG8055003,V500213,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,020,10
BG8056003,V500214,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,021,10
BG8057003,V500215,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,022,10
BG8058003,V500216,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,023,10
BG8059003,V500217,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,024,10
BG8060003,V500218,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,025,10
BG8061003,V500219,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,026,10
BG8062003,V500220,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,027,10
BG8063003,V500221,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,028,10
BG8064003,V500222,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,029,10
BG8065003,V201068,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,030,10
BG8066003,V201069,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,031,10
BG8067003,V201070,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,032,10
BG8068003,V201071,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,033,10
BG8069003,V201072,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,034,10
BG8072003,V201073,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,035,10
BG8073003,V201074,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,036,10
BG8074003,V201075,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,037,10
BG8075003,V201076,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,038,10
BG8077003,V201077,LCBKI_SLL/A4590_CDC/DDDP 10mM/DDDP 10mM 001,039,10
