Vial ID	Tare
V207129	4.80671
V207124	4.77409
V207125	4.81727
V207126	4.78997
V207127	4.83546
V207128	4.75052
V207130	4.78596
V207123	4.75909
V207122	4.75397
V207121	4.74827
V207120	4.80218
V207119	4.73693
V207118	4.72036
V207117	4.74157
V207116	4.77466
V207115	4.73666
V207114	4.75068
V207111	4.76318
V207113	4.75299
V207110	4.77132
V207109	4.72208
V207112	4.79897
V207108	4.79153
V207102	4.75938
V207103	4.74368
V207104	4.75643
V207105	4.7512
V207106	4.80136
V207107	4.80394
V207101	4.77408
V207096	4.76189
V207100	4.79091
V207099	4.75382
V207098	4.77931
V207097	4.72875
